kind,destination_slug,destination_name,source_file,target_file,db_table,db_id,db_name,db_image_path,match_status,notes
unmatched,da-nang,,DANANG/AsiaPar.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,da-nang,,DANANG/BaoTangDaNang.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,da-nang,,DANANG/BaoTangDieuKhacCHam.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,da-nang,,DANANG/BaoTangMyThuat.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,da-nang,,DANANG/ComNieuCoiNguon.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,da-nang,,DANANG/CongVienBienDong.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,da-nang,,DANANG/CongVienKyQuan.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,da-nang,,DANANG/CongVienNuiThanTai.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,da-nang,,DANANG/DanangSquare.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,da-nang,,DANANG/ThanhDienHai.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,dong-hoi,,DongHoi/BaoTangQuangBinh.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,dong-hoi,,DongHoi/ChoDongHoi.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,dong-hoi,,DongHoi/CongVienDongHoi.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,dong-hoi,,DongHoi/SquareCoffee.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,dong-hoi,,DongHoi/ThanhCoDongHoi.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,dong-hoi,,DongHoi/TuongDaiMeSuot.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,dong-hoi,,DongHoi/VuonHoaNhatNguyet.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,ha-giang,,Hagiang/BaoTangHaGiang.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,ha-giang,,Hagiang/CongVienNuocHaPhuong.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,ha-giang,,Hagiang/CuaKhauThanhThuy.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,ha-giang,,Hagiang/DinhHoVuong.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,ha-giang,,Hagiang/DiTichBotDeoGio.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,ha-giang,,Hagiang/DiTichCangBacMe.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,ha-giang,,Hagiang/KDLSinhThaiTruongXuan.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,ha-giang,,Hagiang/LikaCoffee.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,ha-giang,,Hagiang/LikaCoffeee.webp,,,,,,manual_needed,no exact slug match in DB
unmatched,hai-phong,,Haiphong/AEONMail.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,hai-phong,,Haiphong/BaoTangHaiPhong.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,hai-phong,,Haiphong/BaoTangHaiQuan.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,hai-phong,,Haiphong/ChoVinhNiem.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,hai-phong,,Haiphong/DiTichTuLuongXam.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,hai-phong,,Haiphong/KhuDiTichBachDangGiang.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,hai-phong,,Haiphong/KhuSinhThaiNamSon.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,hai-phong,,Haiphong/NhaHatLonHaiPhong.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,hai-phong,,Haiphong/SuoiKhoangTienLang.jpg,,,,,,manual_needed,no exact slug match in DB
